PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
38.5,118.12710293078135,12.38,19.67,30.02,23.48347601937197,12.38,10.37,16.33,1.56,2.97,0.42
50.24,118.12710293078135,9.46,12.31,21.77,23.48347601937197,9.46,11.63,13.61,0.0,3.42,0.29
61.77,118.12710293078135,8.68,15.43,24.1,23.48347601937197,8.68,8.1,18.69,0.0,4.83,0.38
46.93,118.12710293078135,7.14,11.47,18.61,23.48347601937197,7.14,7.92,19.03,0.0,3.08,0.12
44.94,118.12710293078135,7.14,10.94,18.07,23.48347601937197,7.14,5.85,59.38,0.0,2.21,0.24
24.46,118.12710293078135,8.45,10.99,19.44,23.48347601937197,8.45,12.59,44.55,0.0,2.52,0.17
59.29,118.12710293078135,9.21,9.68,18.89,23.48347601937197,9.21,5.98,7.69,0.0,3.24,0.19
65.32,118.12710293078135,10.61,9.62,20.23,23.48347601937197,10.61,3.69,4.74,0.0,3.63,0.24
47.39,118.12710293078135,9.26,10.48,19.74,23.48347601937197,9.26,7.72,7.71,0.0,3.41,0.21
43.88,118.12710293078135,8.69,19.75,28.44,23.48347601937197,8.69,4.83,11.53,0.0,3.24,0.16
28.35,118.12710293078135,9.05,13.62,22.68,23.48347601937197,9.05,7.47,15.95,0.0,3.26,0.21
3.59,118.12710293078135,11.26,14.17,25.44,23.48347601937197,11.26,9.6,20.38,0.0,4.02,0.46
69.12,118.12710293078135,8.85,32.41,41.26,23.48347601937197,8.85,15.63,28.45,0.0,7.16,0.73
87.18,118.12710293078135,7.83,21.51,29.34,23.48347601937197,7.83,6.98,23.17,5.59,17.26,2.28
91.41,118.12710293078135,5.19,23.45,28.63,23.48347601937197,5.19,25.44,6.25,0.69,1.25,0.05
64.66,118.12710293078135,4.79,23.83,28.61,23.48347601937197,4.79,34.4,24.76,6.24,12.04,2.24
78.14,118.12710293078135,10.58,28.93,39.51,23.48347601937197,10.58,44.91,35.56,4.72,8.87,2.28
89.64,118.12710293078135,5.42,25.75,31.18,23.48347601937197,5.42,44.92,43.04,6.48,17.42,2.14
27.29,118.12710293078135,9.81,28.12,37.93,23.48347601937197,9.81,1.61,39.26,0.0,0.0,0.0
41.43,118.12710293078135,10.45,31.82,42.09,23.48347601937197,10.45,1.7,28.05,0.0,0.0,0.0
30.16,118.12710293078135,10.41,15.99,26.4,23.48347601937197,10.41,1.6,23.76,0.0,0.0,0.0
29.42,118.12710293078135,9.39,10.11,19.5,23.48347601937197,9.39,1.57,16.42,0.0,0.0,0.0
20.87,118.12710293078135,9.04,7.49,16.54,23.48347601937197,9.04,1.6,14.27,0.0,0.0,0.0
35.08,118.12710293078135,8.36,6.52,14.88,23.48347601937197,8.36,1.63,19.44,0.0,0.0,0.0
40.23,118.12710293078135,8.68,2.79,11.47,23.48347601937197,8.68,1.69,15.16,0.0,0.0,0.0
54.25,118.12710293078135,8.11,2.78,10.89,23.48347601937197,8.11,1.42,18.46,0.0,0.0,0.0
43.71,118.12710293078135,8.85,39.95,40.31,23.48347601937197,8.85,15.37,34.49143047551845,0.0,0.0,0.0
33.93,118.12710293078135,5.06,13.41,16.13,23.48347601937197,5.06,19.54,6.16,3.24,0.04,0.0
38.06,118.12710293078135,6.96,22.63,29.58,23.48347601937197,6.96,14.75,3.47,2.67,6.25,1.44
20.19,118.12710293078135,10.41,18.13,28.54,23.48347601937197,10.41,15.01,4.9,8.43,13.81,2.64
60.18,118.12710293078135,8.64,13.25,21.89,23.48347601937197,8.64,15.3,13.19,3.04,10.46,2.29
85.1,118.12710293078135,8.14,12.91,21.04,23.48347601937197,8.14,14.51,12.45,2.64,9.08,1.5
55.55,118.12710293078135,8.38,13.45,21.83,23.48347601937197,8.38,16.6,11.84,3.91,8.47,1.27
37.68,118.12710293078135,6.39,9.49,15.88,23.48347601937197,6.39,16.15,13.7,2.5,6.9,0.92
53.5,118.12710293078135,12.0,14.19,26.57,23.48347601937197,12.0,16.32,5.48,7.94,13.77,2.91
48.24,118.12710293078135,10.91,15.52,26.43,23.48347601937197,10.91,16.16,5.98,6.48,11.94,2.44
63.27,118.12710293078135,8.82,13.23,25.6,23.48347601937197,8.82,24.81,8.68,4.04,11.75,1.63
31.15,118.12710293078135,8.91,9.94,18.86,23.48347601937197,8.91,21.48,12.97,3.07,7.01,1.11
33.76,118.12710293078135,9.15,12.22,21.37,23.48347601937197,9.15,17.68,8.36,2.68,8.58,1.24
