PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
147.18,118.12710293078135,33.06,36.87,69.93,23.48347601937197,33.06,21.24,131.12,25.83,60.82,9.26
207.13,118.12710293078135,28.41,35.31,60.37,23.48347601937197,28.41,50.33,34.49143047551845,28.86,55.93,8.74
38.13,118.12710293078135,46.51,48.06,43.98,23.48347601937197,46.51,23.13,34.49143047551845,0.0,0.0,0.0
41.39,118.12710293078135,100.77,54.7,48.42,23.48347601937197,100.77,15.75,34.49143047551845,0.0,0.0,0.13
31.71,118.12710293078135,1.67,22.75,18.5,23.48347601937197,1.67,15.47,34.49143047551845,0.0,0.0,0.0
36.87,118.12710293078135,26.51,23.28,47.75,23.48347601937197,26.51,13.74,4.91,4.83,12.77,6.74
46.19,118.12710293078135,86.72,29.66,116.39,23.48347601937197,86.72,14.31,4.77,5.5,26.78,0.99
48.44,118.12710293078135,84.21,30.66,114.87,23.48347601937197,84.21,15.67,4.26,1.62,7.1,0.23
40.18,118.12710293078135,72.58,28.27,100.85,23.48347601937197,72.58,14.63,4.33,0.0,0.3,0.0
33.5,118.12710293078135,79.53,30.42,109.95,23.48347601937197,79.53,14.95,4.81,0.0,0.0,0.0
29.36,118.12710293078135,83.72,29.75,113.47,23.48347601937197,83.72,15.31,3.68,0.0,0.0,0.0
44.59,118.12710293078135,89.85,29.34,119.19,23.48347601937197,89.85,14.18,4.91,0.13,0.0,0.0
50.65,118.12710293078135,10.63,13.0,19.88,23.48347601937197,10.63,13.06,6.21,33.6,19.27,0.09
170.22,118.12710293078135,15.47,17.88,33.33,23.48347601937197,15.47,14.21,10.05,3.98,8.81,1.57
120.35,118.12710293078135,20.67,16.95,37.63,23.48347601937197,20.67,49.8,29.53,0.0,0.0,0.0
140.81,118.12710293078135,18.56,19.3,37.86,23.48347601937197,18.56,15.83,31.21,0.0,0.0,0.0
214.36,118.12710293078135,19.66,18.38,38.03,23.48347601937197,19.66,46.6,33.34,6.05,20.53,11.69
381.69,118.12710293078135,29.49,25.41,54.9,23.48347601937197,29.49,49.33,15.74,13.1,28.16,14.59
182.59,118.12710293078135,26.06,18.2,44.25,23.48347601937197,26.06,23.81,41.0,8.18,19.9,10.1
271.85,118.12710293078135,16.39,15.28,31.68,23.48347601937197,16.39,33.31,41.24,3.52,8.61,5.31
230.76,118.12710293078135,12.95,13.35,26.31,23.48347601937197,12.95,19.34,50.18,2.21,5.96,3.59
203.3,118.12710293078135,11.74,14.79,26.54,23.48347601937197,11.74,16.14,47.43,2.23,6.43,4.65
79.49,118.12710293078135,175.81,28.34,89.33,23.48347601937197,175.81,62.62,18.21,11.23,29.21,2.13
112.25,118.12710293078135,104.94,36.61,141.28,23.48347601937197,104.94,43.78,23.6,21.01,51.59,3.38
133.07,118.12710293078135,70.84,51.06,121.9,23.48347601937197,70.84,61.91,32.46,22.32,55.28,4.05
93.96,118.12710293078135,71.28,46.94,118.1,23.48347601937197,71.28,47.05,6.36,13.78,46.17,2.37
93.7,118.12710293078135,55.17,53.13,108.3,23.48347601937197,55.17,47.28,21.54,19.04,55.69,3.75
96.65,118.12710293078135,24.81,67.28,66.67,23.48347601937197,24.81,67.31,33.84,21.21,60.08,3.37
107.09,118.12710293078135,16.58,95.73,59.61,23.48347601937197,16.58,104.29,44.5,22.37,76.3,5.22
119.02,118.12710293078135,17.91,82.3,53.51,23.48347601937197,17.91,101.88,77.28,21.71,68.45,6.02
83.86,118.12710293078135,36.74,82.94,67.88,23.48347601937197,36.74,90.76,52.82,23.48,82.75,14.62
72.67,118.12710293078135,42.99,108.74,85.13,23.48347601937197,42.99,106.41,27.74,33.58,117.04,39.38
